Name:,Description:,Price: (each),Shipping Price:,Quanity:,Manufacturer:,Total Price (with tax + shipping):,URL:
Raspberry Pi Pico w/ Headers,"40 pin RP2040 based MCU, the brains for the keyboard.",$3.41,$0.00,1,AliExpress,$3.94,https://www.aliexpress.us/item/3256805941727857.html?spm=a2g0o.cart.0.0.295b38daIYYoHW&mp=1&pdp_npi=6%40dis%21USD%21USD%203.41%21USD%203.41%21%21USD%203.41%21%21%21%402103212317738723428262562e918f%2112000035881956746%21ct%21US%216916366760%21%211%210%21&_gl=1*17auvbk*_gcl_aw*R0NMLjE3NzM2MDE5MDIuQ2owS0NRandzZG5OQmhDNEFSSXNBQV8zaGVpZ1R3cW5RcFRoUlY1S0hManNRUVdXY0pHMEVsM1UtMV96MlQ0YVdkZmw2VFkyaS05Qm5lY2FBc2RWRUFMd193Y0I.*_gcl_dc*R0NMLjE3NzM2MDE5MDIuQ2owS0NRandzZG5OQmhDNEFSSXNBQV8zaGVpZ1R3cW5RcFRoUlY1S0hManNRUVdXY0pHMEVsM1UtMV96MlQ0YVdkZmw2VFkyaS05Qm5lY2FBc2RWRUFMd193Y0I.*_gcl_au*MTkwNzg4MzkyMy4xNzY5MDMzMzcx*_ga*MjkyODU0MjIxLjE3NzM4NzE3NDY.*_ga_VED1YSGNC7*czE3NzM4NzE3NDUkbzEkZzEkdDE3NzM4NzIzNDMkajU5JGwwJGgw&gatewayAdapt=glo2usa
V2 PCB Mount Screw-in Stabilizers,"Keyboard stabilizers, allows the space, shift etc. to not collapse.",$5.27,$0.00,1,AliExpress,$6.08,https://www.aliexpress.us/item/3256807050530252.html?spm=a2g0o.cart.0.0.1d1938daK18Quu&mp=1&pdp_npi=6%40dis%21USD%21USD%205.58%21USD%205.27%21%21USD%205.12%21%21%21%402101eecd17715431674755596e02ab%2112000039909995531%21ct%21US%216916366760%21%211%210%21&_gl=1*1gsy9e4*_gcl_aw*R0NMLjE3Njk4MDk2MjEuQ2p3S0NBaUFqOExMQmhBa0Vpd0FKamJZNzBrTW1QMW5Fa1VGM1F0RzFFLXI5amsxQnc4dU1UNko1MWo4V3RWZ24yM1doeGZNdXJseDZob0MxLVlRQXZEX0J3RQ..*_gcl_au*MTkwNzg4MzkyMy4xNzY5MDMzMzcx*_ga*Mzk1Mzc0NzMxLjE3NzE0NTE5NjM.*_ga_VED1YSGNC7*czE3NzE1NDMxMzIkbzMkZzEkdDE3NzE1NDMzMzckajQyJGwwJGgw&gatewayAdapt=glo2usa
MMD Fairy Switch Tactile,"Clear keyboard switches, buttons. Pack of 70.",$23.23,$0.00,1,AliExpress,$26.81,https://www.aliexpress.us/item/3256805876055680.html?spm=a2g0o.productlist.main.1.2c67EQ2lEQ2ld9&algo_pvid=6a070d2b-1908-49c5-8dc8-ff5cb4d6d98f&algo_exp_id=6a070d2b-1908-49c5-8dc8-ff5cb4d6d98f-0&pdp_ext_f=%7B%22order%22%3A%224%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2116.49%217.90%21%21%2116.49%217.90%21%40210328df17715946877816174e4831%2112000035558101041%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A72cf5307%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847418&curPageLogUid=Gu2HeTS3mv6v&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006062370432%7C_p_origin_prod%3A
1N4148 Switching Diode,Used in the keyboard matrix to prevent ghosting. Pack of 50.,$1.23,$0.00,2,AliExpress,$2.84,https://www.aliexpress.us/item/3256806058794623.html?spm=a2g0o.cart.0.0.1d1938daMNUGBd&mp=1&pdp_npi=6%40dis%21USD%21USD%201.79%21USD%201.23%21%21USD%201.07%21%21%21%402101eecd17713708062508328e02a6%2112000036448323916%21ct%21US%216916366760%21%212%210%21&_gl=1*5igzdr*_gcl_aw*R0NMLjE3Njk4MDk2MjEuQ2p3S0NBaUFqOExMQmhBa0Vpd0FKamJZNzBrTW1QMW5Fa1VGM1F0RzFFLXI5amsxQnc4dU1UNko1MWo4V3RWZ24yM1doeGZNdXJseDZob0MxLVlRQXZEX0J3RQ..*_gcl_au*MTkwNzg4MzkyMy4xNzY5MDMzMzcx*_ga*NDk1NTA1MDMwLjE3NzEzNjg0MzM.*_ga_VED1YSGNC7*czE3NzEzNjg0MzIkbzEkZzEkdDE3NzEzNzEwMTUkajU5JGwwJGgw&gatewayAdapt=glo2usa
SK6812 MINI-E RGB,Addressable LED's for the keyboard. Pack of 100.,$6.03,$0.00,1,AliExpress,$6.96,https://www.aliexpress.us/item/3256805007401420.html?spm=a2g0o.cart.0.0.1d1938daMNUGBd&mp=1&pdp_npi=6%40dis%21USD%21USD%206.42%21USD%206.03%21%21USD%205.32%21%21%21%402101eecd17713708062508328e02a6%2112000032072424635%21ct%21US%216916366760%21%211%210%21&_gl=1*5igzdr*_gcl_aw*R0NMLjE3Njk4MDk2MjEuQ2p3S0NBaUFqOExMQmhBa0Vpd0FKamJZNzBrTW1QMW5Fa1VGM1F0RzFFLXI5amsxQnc4dU1UNko1MWo4V3RWZ24yM1doeGZNdXJseDZob0MxLVlRQXZEX0J3RQ..*_gcl_au*MTkwNzg4MzkyMy4xNzY5MDMzMzcx*_ga*NDk1NTA1MDMwLjE3NzEzNjg0MzM.*_ga_VED1YSGNC7*czE3NzEzNjg0MzIkbzEkZzEkdDE3NzEzNzEwMTUkajU5JGwwJGgw&gatewayAdapt=glo2usa
0.91 inch OLED ,"0.91 inch, 128x32, SSD1306, I2C, OLED display. (already have)",$1.97,$0.00,1,AliExpress,$2.27,https://www.aliexpress.us/item/3256805114690528.html?spm=a2g0o.productlist.main.33.508byZ3oyZ3oyT&algo_pvid=eb5a6790-e38d-4eb1-b34e-9abb2a502be0&algo_exp_id=eb5a6790-e38d-4eb1-b34e-9abb2a502be0-32&pdp_ext_f=%7B%22order%22%3A%222979%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.97%211.97%21%21%211.97%211.97%21%402103212317713684409616193ef62c%2112000032548039884%21sea%21US%216916366760%21X%211%210%21n_tag%3A-29913%3Bd%3A729337c7%3Bm03_new_user%3A-29895&curPageLogUid=xd4wKAHaNW7A&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005301005280%7C_p_origin_prod%3A
Custom PCB,"Custom printed circuit board, the foundation. (pack of 5)",$17.60,$12.97,1,JLCPCB,$33.28,https://jlcpcb.com/
TOTAL:,,,,,,$82.18,Link to Google Spreadsheet: https://docs.google.com/spreadsheets/d/17dnJcXFBqe7aWQwjPS5lmQD_NSss1hXRMHxMUS2wsAg/edit?usp=sharing
