Name:,Description:,Price: (each),Shipping Price:,Quanity:,Manufacturer:,Total Price (with tax + shipping):,URL:
Raspberry Pi Pico WH (Pre-Soldered Headers),"Wireless, 40 pin RP2040 based MCU, the brains for the keyboard.",$7,$6.44,1,PiShop,$14.52,https://www.pishop.us/product/raspberry-pi-pico-wh-pre-soldered-headers/?searchid=0&search_query=+Raspberry+Pi+Pico+WH
DUROCK Stabilizer V3 Screw in Stabilizers,"Keyboard stabilizers, allows the space, shift etc. to not collapse.",$18.99,$0.00,1,Amazon,$21.91,https://www.amazon.com/gp/product/B0B8ZJJSL7/ref=ewc_pr_img_2?smid=A1G6HFHDKP9H5J&th=1
Akko V3 Creamy Blue Pro Keyboard Switch,"""Creamy"" keyboard switches, buttons you click. Pack of 45.",$12.99,$0.00,2,Amazon,$29.98,
Custom PCB,"Custom printed circuit board, the foundation.",TBD,TBD,1,JLCPCB,TBD,
1N4148 Switching Diode,Used in the keyboard matrix to prevent ghosting. Pack of 50.,$1.23,$0.00,2,AliExpress,$2.84,https://www.aliexpress.us/item/3256806058794623.html?spm=a2g0o.productlist.main.9.36e437710Sx9Cn&algo_pvid=89a8f056-3787-4825-8c88-7cc0159418b5&algo_exp_id=89a8f056-3787-4825-8c88-7cc0159418b5-8&pdp_ext_f=%7B%22order%22%3A%222813%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.78%211.23%21%21%2112.28%218.47%21%402101d97817706829340967344e8ba0%2112000036448323916%21sea%21US%216916366760%21X%211%210%21n_tag%3A-29913%3Bd%3A729337c7%3Bm03_new_user%3A-29895&curPageLogUid=4qLKEcB8OROQ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006245109375%7C_p_origin_prod%3A
SK6812 MINI-E RGB,Addressable LED's for the keyboard. Pack of 100.,$5.99,$0.00,1,AliExpress,$6.91,https://www.aliexpress.us/item/3256805007401420.html?spm=a2g0o.productlist.main.3.7f93SRpFSRpFGv&algo_pvid=221c5c51-45f0-4ea1-80e7-609e60dc291c&algo_exp_id=221c5c51-45f0-4ea1-80e7-609e60dc291c-2&pdp_ext_f=%7B%22order%22%3A%22359%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%216.37%215.99%21%21%2143.95%2141.33%21%402103110517706826301308965e49f9%2112000032072424635%21sea%21US%216916366760%21X%211%210%21n_tag%3A-29913%3Bd%3A729337c7%3Bm03_new_user%3A-29895%3BpisId%3A5000000200978327&curPageLogUid=7JjCU8eYY3gf&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005193716172%7C_p_origin_prod%3A
330 OHM Resistor,Protects signal ringing and voltage spikes. Pack of 100.,$1.49,$0.00,1,AliExpress,$1.72,https://www.aliexpress.us/item/3256802310109990.html?spm=a2g0o.productlist.0.0.7f93SRpFSRpFGv&mp=1&pdp_npi=6%40dis%21USD%21USD%201.52%21USD%201.49%21%21USD%201.46%21%21%21%402101df0e17706826315142860e090f%2112000020878973307%21ct%21US%216916366760%21%211%210%21&_gl=1*v7kktb*_gcl_aw*R0NMLjE3Njk4MDk2MjEuQ2p3S0NBaUFqOExMQmhBa0Vpd0FKamJZNzBrTW1QMW5Fa1VGM1F0RzFFLXI5amsxQnc4dU1UNko1MWo4V3RWZ24yM1doeGZNdXJseDZob0MxLVlRQXZEX0J3RQ..*_gcl_au*MTkwNzg4MzkyMy4xNzY5MDMzMzcx*_ga*ODgxMDQ2NDk5LjE3NzA2ODIzNzY.*_ga_VED1YSGNC7*czE3NzA2ODIzNzUkbzEkZzEkdDE3NzA2ODI2NDkkajMyJGwwJGgw&gatewayAdapt=glo2usa
TOTAL:,,,,,,$77.88,
